featureid	Description	Intercept	up_in_il
G001618265	k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Waddliaceae;g__Waddlia;s__Waddlia chondrophila	-0.490617263	2.964369433
G001050095	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus massiliensis	-2.133288372	2.952003138
G001267865	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus durans	-0.597546565	2.885118621
G000269945	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus garvieae	-2.155011642	2.819469588
G000381525	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Peptostreptococcus;s__Peptostreptococcus anaerobius	0.175682795	2.810538666
ASV_Feature_270	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Veillonella; s__parvula	0.889395964	2.791856902
G001808965	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus sp. HMSC064A12	-1.086388099	2.778819935
G000297775	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella;s__Sutterella wadsworthensis	-0.074540842	2.754298108
G000185365	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus italicus	-2.348818767	2.697833197
P02675	Human	-0.601293075	2.673802035
G001940825	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Sphaerochaeta;s__Sphaerochaeta sp. Phil3	-0.128885019	2.660417216
P01859	Human	0.060255539	2.621713774
G001975685	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Jeotgalibaca;s__Jeotgalibaca sp. PTS2502	-3.15347861	2.597616332
MTB_feature_233	1-acyl-sn-glycero-3-phosphocholines	0.220011485	2.532852786
MTB_feature_473	Saccharolipids	1.745781672	2.52879204
ASV_Feature_356	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus	3.320419994	2.51012625
G001434555	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus amylotrophicus	-2.825492847	2.504346984
MTB_feature_653	unclassified	1.778939378	2.473599093
G000436595	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella sp. CAG:1124	-1.882645595	2.462496178
G000146185	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium;s__[Eubacterium] eligens	3.525210759	2.461099999
MTB_feature_2039	unclassified	0.059105647	2.458979981
MTB_feature_651	#N/A	2.843395603	2.455863135
P02679	Human	-0.527724731	2.455293791
P02768	Human	-0.633248794	2.431917088
ASV_Feature_443	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	2.953524482	2.40761699
G000435035	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas sp. CAG:1061	-0.923071849	2.40495147
G000436155	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp. CAG:505	2.653467727	2.403037207
Q06141	Human	1.021029484	2.372089045
G900110675	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Ignavigranum;s__Ignavigranum ruoffiae	-5.483311164	2.365168946
ASV_Feature_62	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__	5.05908252	2.353912013
G000723465	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__Ruminococcus bicirculans	2.028502595	2.336362498
G000173795	k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Catenibacterium;s__Catenibacterium mitsuokai	0.055698645	2.312582271
G000432875	k__Bacteria;p__Firmicutes;c__;o__;f__;g__;s__Firmicutes bacterium CAG:466	2.846305978	2.310695784
MTB_feature_90	#N/A	1.775874984	2.306427496
G000431435	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella sp. CAG:933	0.792971146	2.305084245
G001042695	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Scardovia;s__Scardovia inopinata	-5.543220031	2.304586785
G000407245	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus avium	-1.006864536	2.296193497
G000433375	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides faecis CAG:32	2.832682562	2.278585093
P12429	Human	-0.513390529	2.206247466
G900100245	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__Lachnospiraceae bacterium G41	-4.916629302	2.204597252
G001022195	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella oxytoca	3.724625823	2.199302929
P17213	Human	-0.348194587	2.181510942
ASV_Feature_1019	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.579073203	2.16578068
G000435395	k__Bacteria;p__Firmicutes;c__;o__;f__;g__;s__Firmicutes bacterium CAG:94	1.697983992	2.165651219
G000620905	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;g__Listeria;s__Listeria monocytogenes	-5.225662696	2.130738514
G000436535	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium sp. CAG:252	0.528197539	2.113830583
G001028025	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium;s__[Eubacterium] fissicatena	0.280522835	2.105440276
G000203855	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus plantarum	-4.955530631	2.105272787
ASV_Feature_4	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii	5.365792883	2.098653572
G001434695	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus algidus	-4.075220096	2.074245827
G001982205	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus plantarum	-4.761273849	2.054567235
G000069965	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Proteus;s__Proteus mirabilis	-0.477540004	2.043728011
MTB_feature_1007	#N/A	2.636716497	2.041893737
G000364165	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp. ASF356	-2.245450962	2.011205928
G000286435	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Morganella;s__Morganella morganii;t__Morganella morganii subsp. morganii	0.558377039	2.001682537
P02787	Human	-0.822314727	1.991210597
G000942395	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Thermoactinomycetaceae;g__Risungbinella;s__Risungbinella massiliensis	-5.312358367	1.980346935
G000162015	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii	5.028651249	1.977837699
G000432315	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp. CAG:264	1.754638326	1.976472395
G000832085	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Sanguibacteroides;s__Sanguibacteroides justesenii	-1.472244728	1.972318309
P04083	Human	-0.455857742	1.96717407
G000183565	k__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus;s__Peptoniphilus harei	-1.922889697	1.966606872
G000422165	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus helveticus	-3.098923194	1.940467732
G000165905	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum	2.395494354	1.907692926
G000379925	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas levii	-3.485987651	1.891254323
G000155205	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__Ruminococcus lactaris	2.904041779	1.863288539
G000186945	k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Solobacterium;s__Solobacterium moorei	-1.727887618	1.850237267
G001916165	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp. CAG:12237_41	0.039797795	1.827147381
P29401	Human	-0.453165042	1.822557109
G000455225	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Megasphaera;s__Megasphaera massiliensis	-3.067543495	1.820348518
G001045675	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Megasphaera;s__Megasphaera cerevisiae	-2.68631314	1.819518702
P04114	Human	-0.236288774	1.80975272
G000007325	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium nucleatum;t__Fusobacterium nucleatum subsp. nucleatum	1.124076855	1.796900289
G001262605	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Pseudobacteroides;s__Pseudobacteroides cellulosolvens	-5.105513084	1.786659019
ASV_Feature_46	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__	4.272938263	1.777845996
G001854465	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium nucleatum	1.55252887	1.775325792
G000158275	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium nucleatum;t__Fusobacterium nucleatum subsp. animalis	3.173722249	1.765611665
P02790	Human	-0.387239921	1.760870831
k99_3414288_3	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__Clostridiales bacterium 59_14	0.060574544	1.758763449
G000434095	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis CAG:47	4.059744191	1.753751652
P28676	Human	-0.44670676	1.752224343
G001945525	k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Ileibacterium;s__Ileibacterium valens	-4.336340892	1.741056578
ASV_Feature_309	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	1.825001252	1.73516752
P01871	Human	0.870336783	1.734215276
k99_1432679_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Eubacteriaceae; g__Eubacterium; s__Eubacterium sp. 41_20	-0.193017471	1.733082311
G001305115	k__Bacteria;p__Firmicutes;c__Clostridia;o__;f__;g__;s__Clostridia bacterium UC5.1-1E11	2.595808339	1.729672091
D3DSM0	Human	-0.307789552	1.729135888
G000158195	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium mortiferum	-0.091657865	1.722875254
G900115735	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Butyrivibrio;s__Butyrivibrio proteoclasticus	-4.077194202	1.716919677
G000598465	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis	4.158397389	1.716578977
k99_8920948_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__uncultured Faecalibacterium sp.	0.22299434	1.714908497
MTB_feature_1248	#N/A	1.066668046	1.710182326
MTB_feature_231	1-acyl-sn-glycero-3-phosphocholines	2.014517677	1.691293733
G000598965	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis	4.241916609	1.690179842
G000688375	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella sp. HUN102	-1.733410346	1.688771145
G000599385	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis	4.286862207	1.668611782
MTB_feature_979	#N/A	0.568547738	1.658634083
G000953535	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Fermentimonas;s__Fermentimonas caenicola	-3.23210715	1.655964034
G001654855	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Cosenzaea;s__Cosenzaea myxofaciens	-3.546970832	1.654055493
G000283615	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Tetragenococcus;s__Tetragenococcus halophilus	-3.463489997	1.647887962
P31146	Human	-0.935492504	1.624483006
G000740055	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus oryzae	-4.668773162	1.623308079
P01877	Human	1.086949837	1.613659995
G000421005	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__Clostridiales bacterium NK3B98	-3.196963775	1.602879541
G000158215	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium periodonticum	-0.406561124	1.600903766
G000009925	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis	4.331723225	1.590220587
G000741285	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium mongoliense	-3.795382011	1.586111443
G000269605	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Scardovia;s__Scardovia wiggsiae	-1.703562725	1.581971185
MTB_feature_562	Coumarins and derivatives	0.670920861	1.579789655
G000321205	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes ihumii	0.909330142	1.573417084
MTB_feature_269	Dipeptides	0.606540215	1.566490071
k99_212071_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__Blautia wexlerae	0.02231766	1.562226074
ASV_Feature_132	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospira; s__	1.315283787	1.560951727
ASV_Feature_108	k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales; f__Turicibacteraceae; g__Turicibacter; s__	1.367578042	1.559973734
k99_8111903_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__Faecalibacterium sp. CAG:82	0.33551265	1.557949798
Q6UX06	Human	-0.115092981	1.554880755
P07737	Human	-0.870954502	1.541064875
MTB_feature_160	Bilirubins	0.907634032	1.539596336
P13796	Human	-0.911913383	1.531913893
G001602535	k__Bacteria;p__;c__;o__;f__;g__;s__bacteria symbiont BFo2 of Frankliniella occidentalis	-2.385664928	1.530948894
k99_6098496_1	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__Bifidobacterium adolescentis	-1.106195915	1.529922025
MTB_feature_1503	unclassified	0.599756491	1.524250167
MTB_feature_1059	"1,2-aminoalcohols"	0.771466744	1.521839636
G000154245	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp. L2-50	3.051190448	1.515100854
G000521175	k__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Aphanizomenonaceae;g__Aphanizomenon;s__Aphanizomenon flos-aquae	-5.245460975	1.511516946
k99_3699875_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__Faecalibacterium prausnitzii	-0.067019212	1.506933944
A0A0G2JPR0	Human	0.135211003	1.50560035
G000770305	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;g__Erwinia;s__Erwinia oleae	-1.114773261	1.502495663
G000424545	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Butyrivibrio;s__Butyrivibrio sp. NC3005	-2.453222263	1.500513094
G000156535	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis	3.972605836	1.498575108
P08133	Human	-0.438740241	1.496773737
MTB_feature_307	Dipeptides	0.78506161	1.48779239
G001318345	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides cellulosilyticus	4.462812257	1.485056298
ASV_Feature_320	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Clostridium; s__spiroforme	2.393854749	1.472814338
P01857	Human	0.247020972	1.468922632
P62937	Human	-0.542884338	1.468230145
G000428565	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__Parabacteroides gordonii	2.044870746	1.465882199
P27105	Human	0.019146454	1.456913607
G000435795	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp. CAG:58	3.435927686	1.45639457
ASV_Feature_592	k__Bacteria; p__Firmicutes; c__Bacilli; o__Gemellales; f__Gemellaceae	0.555742037	1.454762833
Q01518	Human	-0.311776864	1.453922527
k99_7301443_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__uncultured Coprococcus sp.	-0.139338481	1.437176483
P04217	Human	0.310920727	1.431762355
k99_3704613_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__Flavonifractor; s__Flavonifractor plautii	0.943752301	1.427120702
A0A286YFJ8	Human	0.400230658	1.424094932
G000694955	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Lelliottia;s__Lelliottia amnigena	2.302861226	1.42072572
A0A0G2JMH6	Human	0.516609204	1.418927925
G001406535	k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter;s__Turicibacter sanguinis	-1.037393081	1.413499015
O43895	Human	0.896699441	1.409838574
P02788	Human	0.283030284	1.407613533
G000435595	k__Bacteria;p__Firmicutes;c__;o__;f__;g__;s__Firmicutes bacterium CAG:882	-1.337709892	1.393936174
G000296465	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella;s__Barnesiella intestinihominis	3.62317041	1.388434069
MTB_feature_447	"22,26-epiminocholestanes"	2.709421229	1.387285249
k99_5165001_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__Faecalibacterium prausnitzii	-0.583280075	1.38451709
G000775615	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Pontibacillus;s__Pontibacillus litoralis	-0.526211727	1.380848067
G000981525	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus piscium	-2.781074512	1.377953785
P04040	Human	-0.67022084	1.375580208
ASV_Feature_118	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii	3.610631318	1.369376199
G000162475	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella;s__Granulicatella elegans	-3.373858917	1.365548151
k99_1030982_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__Blautia massiliensis	0.509727967	1.359374421
E7EQ64	Human	0.850241196	1.358013051
P30101	Human	-0.573196876	1.353932159
k99_1813434_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__Faecalibacterium prausnitzii	-0.223389375	1.353604572
k99_2319447_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__Faecalibacterium prausnitzii	-0.093119132	1.347902196
ASV_Feature_1317	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	1.063153517	1.33588125
MTB_feature_246	unclassified	2.02354039	1.33052315
P11215	Human	-0.307659852	1.330308812
G001417815	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium aesculapii	-1.799367416	1.32425298
G900095795	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Petrimonas;s__Petrimonas mucosa	-3.12953614	1.320200997
k99_3775551_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__Faecalibacterium sp. CAG:82	-0.040390241	1.309094923
k99_1491585_5	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__Bifidobacterium bifidum	-0.111806619	1.308980124
G000469445	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp. KLE 1745	3.297167403	1.306778805
G000431615	k__Bacteria;p__Firmicutes;c__;o__;f__;g__;s__Firmicutes bacterium CAG:41	3.517602914	1.305797653
G000773975	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;g__Erwinia;s__Erwinia typographi	-1.404813754	1.301579731
